seed,t0,delta,delta_units,horizon,curve_mode,impulse_mode,strategic_direction,selected_action_index,selected_slack_index,baseline_X,baseline_immediate_midprice,baseline_DeltaP,baseline_future_midprice,inventory_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_before,best_ask_before,X_level,immediate_midprice_level,DeltaP_level,future_midprice_level,planned_market_sell_baseline,planned_market_sell_level,local_treatment_difference,local_immediate_level_difference,local_level_difference,local_outcome_difference,beta_exec_immediate_hat,beta_exec_level_hat,beta_exec_hat,beta_action_immediate_hat,beta_action_level_hat,beta_action_hat,clipped
132,3,-3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,0.0,998.5,-1.0,997.5,3.0,0.0,3.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.0,-0.0,False
132,3,-2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-1.0,998.0,-1.0,997.5,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
132,3,-1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-2.0,998.0,-1.0,997.5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
132,3,0.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-3.0,998.0,-1.0,997.5,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,False
132,3,1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-4.0,998.0,-1.0,997.5,3.0,4.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
132,3,2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-5.0,998.0,-1.0,997.5,3.0,5.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
132,3,3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,12.0,998.5,1.0,-0.15030909822864488,6.194717927476123,8.386391307804523,998.0,999.0,-6.0,998.0,-1.0,997.5,3.0,6.0,-3.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
133,3,-3.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-5.0,997.5,0.0,997.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
133,3,-2.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,1.0,0.0,0.0,0.0,0.0,,,,-0.0,-0.0,-0.0,False
133,3,-1.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,2.0,0.0,0.0,0.0,0.0,,,,-0.0,-0.0,-0.0,False
133,3,0.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,False
133,3,1.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,False
133,3,2.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,-0.5,997.0,3.0,5.0,0.0,0.0,-0.5,-0.5,,,,0.0,-0.25,-0.25,False
133,3,3.0,lots,1,symmetric,True,sell,0,1,-6.0,997.5,0.0,997.5,10.0,997.5,1.0,0.24544107997436862,8.944420378963745,5.419037712763601,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,False
140,2,-3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-1.0,998.5,-1.0,997.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
140,2,-2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-2.0,998.5,-1.0,997.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
140,2,-1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-2.0,998.5,-1.0,997.5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
140,2,0.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-3.0,998.5,-1.0,997.5,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,False
140,2,1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-4.0,998.5,-1.0,997.5,3.0,4.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
140,2,2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-5.0,998.5,-1.0,997.5,3.0,5.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
140,2,3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,14.0,998.5,1.0,-0.12730627770956196,8.079257822970526,10.436419823400115,998.0,999.0,-6.0,998.0,-1.0,997.5,3.0,6.0,-3.0,-0.5,0.0,0.0,0.16666666666666666,-0.0,-0.0,-0.16666666666666666,0.0,0.0,False
146,2,-3.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,0.0,997.5,-1.0,996.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
146,2,-2.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-1.0,997.5,-1.0,996.5,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
146,2,-1.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-2.0,997.5,-1.0,996.5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
146,2,0.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-3.0,997.5,-1.0,996.5,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,False
146,2,1.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-4.0,997.5,-1.0,996.5,3.0,4.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
146,2,2.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-5.0,997.5,-1.0,996.5,3.0,5.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
146,2,3.0,lots,1,symmetric,True,sell,0,2,-3.0,997.5,-1.0,996.5,16.0,997.5,1.0,-0.014460134326841524,9.00911068338332,9.273479391711774,997.0,998.0,-6.0,997.5,-1.0,996.5,3.0,6.0,-3.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
151,3,-3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,11.0,998.5,1.0,-0.06719868538873139,7.808116291210447,8.93310430722828,998.0,999.0,0.0,998.5,-1.0,997.5,3.0,0.0,3.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.0,-0.0,False
151,3,-2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.0,-1.0,997.5,11.0,998.5,1.0,-0.06719868538873139,7.808116291210447,8.93310430722828,998.0,999.0,-1.0,998.0,-1.0,997.5,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
