seed,t0,strategic_direction,inventory_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_before,best_ask_before,baseline_X,baseline_immediate_midprice,baseline_DeltaP,baseline_future_midprice,planned_market_sell_baseline
361,3,sell,10.0,998.5,1.0,-0.11776395320864534,7.6592591544205675,9.704028555885271,998.0,999.0,-6.0,998.5,0.0,998.5,3.0
367,2,sell,15.0,998.5,1.0,0.1799501967026767,10.315848595602738,7.169378534203183,998.0,999.0,-9.0,998.5,0.0,998.5,3.0
368,4,sell,10.0,996.5,1.0,0.3002939100025062,10.91336481182456,5.872632150667597,996.0,997.0,-7.0,996.5,0.0,996.5,3.0
373,2,sell,15.0,998.5,1.0,0.026034496707114246,6.819294570633929,6.473230373740382,998.0,999.0,-3.0,998.0,-1.0,997.5,3.0
374,3,sell,12.0,997.5,1.0,0.3142703446012322,9.305266519962457,4.855087258370422,997.0,998.0,-5.0,997.5,-0.5,997.0,3.0
378,3,sell,11.0,998.5,1.0,-0.14348152626945873,7.810257408677295,10.426961397964309,998.0,999.0,-3.0,998.5,-1.0,997.5,3.0
379,2,sell,14.0,999.5,1.0,-0.1547607238472155,6.304516922625355,8.613192418382026,999.0,1000.0,-7.0,999.5,-1.0,998.5,3.0
380,2,sell,15.0,998.5,1.0,-0.2777202630971686,5.709461135163384,10.10009531078044,998.0,999.0,-4.0,998.0,-1.0,997.5,4.0
385,2,sell,14.0,998.5,1.0,0.21039110301154546,11.290972083095658,7.3657613562081465,998.0,999.0,-7.0,998.5,0.0,998.5,3.0
390,2,sell,13.0,998.5,1.0,-0.0798144565516288,7.815984157125648,9.171859681053883,998.0,999.0,-5.0,998.5,-1.0,997.5,3.0
393,4,sell,9.0,997.5,1.0,-0.1353098633194085,7.164495729138426,9.406748524072997,997.0,998.0,-3.0,997.0,-1.0,996.5,3.0
398,3,sell,11.0,998.0,2.0,0.0020334205252594308,5.907584952182585,5.8836084974048894,997.0,999.0,-5.0,997.5,-0.5,997.5,3.0
399,2,sell,14.0,998.5,1.0,-0.2221441857147802,6.2533268801440105,9.825043340409682,998.0,999.0,-4.0,998.0,-1.0,997.5,4.0
