delta,step_ahead,clock_ahead,n_runs,mean_response_vs_baseline,mean_level_effect_vs_baseline,response_ci95_low,response_ci95_high,mean_level_delta_p,level_delta_p_ci95_low,level_delta_p_ci95_high,mean_baseline_delta_p
-1.0,1,15.0,78,0.05128205128205128,0.05128205128205128,-0.01282051282051282,0.12179487179487179,-0.5961538461538461,-0.6923076923076923,-0.4935897435897436,-0.6474358974358975
-1.0,2,30.0,78,0.08333333333333333,0.08333333333333333,0.038461538461538464,0.14102564102564102,-0.9871794871794872,-1.1025641025641026,-0.8717948717948718,-1.0705128205128205
-1.0,3,45.0,78,0.03205128205128205,0.03205128205128205,-0.04487179487179487,0.10256410256410256,-1.5128205128205128,-1.6538461538461537,-1.3525641025641026,-1.544871794871795
-1.0,4,60.0,73,0.0,0.0,-0.08904109589041095,0.08904109589041095,-1.9657534246575343,-2.0755136986301372,-1.8287671232876712,-1.9657534246575343
-1.0,5,75.0,62,-0.06451612903225806,-0.06451612903225806,-0.16129032258064516,0.024193548387096774,-2.3629032258064515,-2.532258064516129,-2.153225806451613,-2.2983870967741935
-1.0,6,90.0,48,-0.010416666666666666,-0.010416666666666666,-0.125,0.11458333333333333,-2.7604166666666665,-2.9791666666666665,-2.4791666666666665,-2.75
-1.0,7,105.0,41,0.04878048780487805,0.04878048780487805,-0.10975609756097561,0.1951219512195122,-3.048780487804878,-3.3536585365853657,-2.682926829268293,-3.097560975609756
-1.0,8,120.0,36,-0.05555555555555555,-0.05555555555555555,-0.2638888888888889,0.1388888888888889,-3.486111111111111,-3.7083333333333335,-3.2777777777777777,-3.4305555555555554
-1.0,9,135.0,27,-0.14814814814814814,-0.14814814814814814,-0.4074074074074074,0.07407407407407407,-3.6481481481481484,-3.8703703703703702,-3.4444444444444446,-3.5
0.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,15.0,78,0.0,0.0,0.0,0.0,-0.6474358974358975,-0.7435897435897436,-0.5448717948717948,-0.6474358974358975
0.0,2,30.0,78,0.0,0.0,0.0,0.0,-1.0705128205128205,-1.185897435897436,-0.9551282051282052,-1.0705128205128205
0.0,3,45.0,78,0.0,0.0,0.0,0.0,-1.544871794871795,-1.6794871794871795,-1.4038461538461537,-1.544871794871795
0.0,4,60.0,74,0.0,0.0,0.0,0.0,-1.9527027027027026,-2.074324324324324,-1.8175675675675675,-1.9527027027027026
0.0,5,75.0,64,0.0,0.0,0.0,0.0,-2.2890625,-2.453125,-2.1015625,-2.2890625
0.0,6,90.0,55,0.0,0.0,0.0,0.0,-2.7363636363636363,-2.9454545454545453,-2.4727272727272727,-2.7363636363636363
0.0,7,105.0,52,0.0,0.0,0.0,0.0,-3.105769230769231,-3.326923076923077,-2.826923076923077,-3.105769230769231
0.0,8,120.0,47,0.0,0.0,0.0,0.0,-3.393617021276596,-3.5638297872340425,-3.223404255319149,-3.393617021276596
