seed,t0,delta,delta_units,intervention_target,branch_from_state,horizon,strategic_direction,baseline_signed_executed_volume,baseline_planned_market_sell,X_plus,X_minus,planned_market_sell_plus,planned_market_sell_minus,local_treatment_difference,DeltaP_plus,DeltaP_minus,local_outcome_difference,beta_action_hat,beta_exec_hat,beta_true_hat,selected_action_index,selected_slack_index,plus_clipped,minus_clipped,market_env,volume,terminal_time,time_delta,drop_feature,policy_kind,fixed_action,action_index,slack_index,adaptive_intervention,intervention_mode,usable_pair,absolute_beta_action_hat,absolute_beta_exec_hat,absolute_beta_true_hat,warnings
229,3,1.0,lots,market,True,5,sell,-4.0,2.0,-5.0,-3.0,3.0,1.0,-2.0,-1.5,-1.5,0.0,0.0,-0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
230,0,1.0,lots,market,True,5,sell,-5.0,2.0,-6.0,-4.0,3.0,1.0,-2.0,-3.0,-2.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
231,0,1.0,lots,market,True,5,buy,-4.0,4.0,-5.0,-3.0,5.0,3.0,-2.0,0.5,0.0,0.5,0.25,-0.25,0.25,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.25,0.25,0.25,
232,5,1.0,lots,market,True,5,sell,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,-1.0,-2.0,1.0,0.5,-0.5,0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
233,0,1.0,lots,market,True,5,buy,-11.0,3.0,-12.0,-10.0,4.0,2.0,-2.0,1.5,1.5,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
234,2,1.0,lots,market,True,5,buy,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
235,0,1.0,lots,market,True,5,sell,-2.0,2.0,-3.0,-2.0,3.0,1.0,-1.0,-3.0,-3.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
236,0,1.0,lots,market,True,5,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-3.0,-3.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
237,4,1.0,lots,market,True,5,sell,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
238,0,1.0,lots,market,True,5,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-3.0,-2.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
